seller,category,product_name,product_brand,normal_price,sale_price,discount,main_img,description,shipment_type,shipment_time,shipping_price
바름,#야채#고구마#국산#바름,[바름] 영암 친환경 꿀고구마 2kg,바름,17000,14500,15,야채1.jpeg,"전남 영암은 청청한 토양과 붉은 황토가 펼쳐진 곳이에요. 비옥한 땅에서 자라난 고구마는 더욱 깊고 진한 달콤함을 머금습니다. 영암에서 온 친환경 꿀고구마를 준비했습니다. 농약 없이 건강하게 길러낸 고구마를 엄선해 여러 번의 선별을 거쳤지요. 적외선으로 살균한 것은 물론, 온도와 습도를 체계적으로 관리하는 전용 창고에서 알맞게 숙성했답니다. 큼직한 사이즈로 골라 넉넉하게 담았으니, 서늘한 곳에 잘 두었다가 포슬하고 달콤한 맛을 즐겨보세요.",일반 택배배송,2,1000
다다기,#야채#오이#국산#아삭,[KF365] 다다기오이 3입,다다기,3000,2910,3,야채2.jpeg,"마디마다 열매가 다닥다닥 열린다 하여 붙여진 이름, 다다기오이. 꼭지로 갈수록 점차 짙어지는 녹색 그라데이션, 오돌토돌 솟아있는 돌기가 매력적인 오이예요. 특히 조직감이 뛰어나고, 씨방이 적어 쉽게 무르지 않는다는 장점이 있답니다. 식감도 우수해 오이소박이, 장아찌 등 다양한 메뉴에 두루 활용하기 좋지요. 1인 가구도 부담 없는 소량 구성으로 알뜰하게 전해드릴게요. 오이의 아삭거리는 식감, 싱그러운 수분감을 오롯이 누려보세요. ",일반 택배배송,2,1000
애기호박,#야채#애호박#국산#단골,[KF365] 애호박 1개,애기호박,1500,1470,3,야채3.jpg,"지금 소개하는 채소는 어느 요리와도 잘 어울리는, 만능 식재료 애호박입니다. 반찬이 마땅치 않은 날, 냉장고 속의 애호박으로 다양한 요리를 만들 수 있지요. 노릇노릇한 애호박전과 구수한 된장찌개, 부드럽고 고소한 볶음 반찬까지. 역시 만능 채소 1순위로 손꼽힐 만하답니다.  신선한 애호박을 부담 없는 양, 합리적인 가격으로 만나보세요.",일반 택배배송,2,1000
당근송창 시자,#야채#당근#국산#제주,제주 흙당근 1kg,당근송,8000,8000,0,야채4.jpg,"선명한 주홍빛으로 식탁에 산뜻한 분위기를 더해주는 채소, 아름다운 빛깔뿐만 아니라 풍부한 영양소까지 자랑하는  당근입니다. 비타민 A의 전구체인 베타카로틴을 다량 함유하고 있어 예로부터 웰빙 식재료로 사랑받고 있지요. 풍부한 일조량과 비옥한 화산토를 지닌 제주도에서 기른 맛 좋은 당근을 선보입니다. 지금 이 시기에만 만날 수 있는 제주도의 겨울 당근은 색감이 진하면서도, 달큼한 풍미를 한껏 품고 있어요. 별도의 세척 및 손질 과정 없이 수확한 상태 그대로 신선하게 전해드릴게요. 다양한 요리의 재료로, 아침을 여는 ABC 주스로 다채롭게 활용해 보세요.",일반 택배배송,2,1000
한통,#야채#양배추#국산#아삭달콤#한통,한통 양배추,한통,6000,5820,3,야채5.jpeg,"수분감 가득한 잎이 겹겹이 쌓인 양배추는 무궁무진한 활용도를 자랑하는 채소예요. 생으로 먹으면 아삭아삭한 식감이 돋보이고, 살짝 데치거나 볶아내면 은근한 단맛이 매력적이죠. 원하는 대로 잘라 사용할 수 있도록 한 통 그대로 준비했어요. 채썬 양배추에 드레싱을 뿌려 간단한 샐러드로 즐겨도 좋고요. 가볍게 삶아 따끈한 밥과 양념장을 올려 맛있는 쌈밥을 만들어도 훌륭할 거예요.",일반 택배배송,2,1000
새벽야채집,#야채#대파#국산#깐,깐대파 500g,새벽야채집,4000,3800,5,야채6.jpeg,"생으로 먹거나 살짝 데쳐냈을 때는 알싸하면서도 은은한 단맛을, 오래 끓여내면 시원한 맛을 내는 마법의 채소, 대파를 소개할게요. 각종 국물 요리의 육수를 낼 때는 통으로 넣어주면 시원한 맛이 제대로 우러나요. 기름기가 있는 요리에 곁들인다면 얇게 채를 썰어 파절이를 만들거나 동그랗게 송송 썰어 고명으로 뿌려주세요. 다채로운 활용도를 자랑하는 만큼 잦은 손질이 필요한 대파를 조금 더 간편하게 사용해보세요. 그때그때 유명산지 대파를 가락시장에서 수급하여 보내드립니다.",일반 택배배송,2,1000
싱싱야채,#야채#콩나물#국산#무농약,[KF365] 무농약 국산콩 콩나물 300g,싱싱야채,1500,1455,3,야채7.jpg,"식탁에 자주 오르는 일상 식재료로 콩나물을 빼놓을 수 없지요. 좋은 콩으로 키운 콩나물을 부담 없이 만날 수 있도록, 합리적인 가격에 국산콩 콩나물을 준비했어요. 농약 없이 깨끗하게 재배한 국산 콩으로 길러낸 콩나물이에요. 적당한 굵기에 아삭한 식감과 시원한 맛이 좋아 두루 활용하기 좋답니다. 산뜻한 나물 반찬은 물론이고 국, 탕 등 다양하게 요리해 보세요.",일반 택배배송,2,1000
GAP,#야채#깻잎#국산#밀량,[KF365] GAP 밀양 깻잎 30g,GAP,1500,1455,3,야채8.jpg,"쌈채소나 반찬으로 활용할 향긋한 깻잎을 찾고 있다면, GAP 밀양 깻잎을 만나 보세요. 밀양은 일교차가 크고 비옥한 토양을 자랑하는 지역인데요. 밤낮의 기온을 견디고 풍부한 영양을 흡수한 깻잎이라, 개운한 향과 도톰한 잎을 가지고 있답니다. 까다로운 GAP 인증을 통과한 상품이기에 믿고 먹을 수 있어 더 만족스러워요. 밀양 깻잎을 활용하여 향긋한 요리를 만들어 보세요.",일반 택배배송,2,1000
컬리,#야채#배추#국산#미니,알배기 배추 1봉,컬리사장,5000,3750,25,야채9.jpeg,"한 입 베어 무는 순간 아삭한 식감에 반하고, 씹을수록 은은하게 퍼지는 고소하고 달큼한 맛에 두 번 반하는 알배기 배추를 소개할게요. 별다른 조리 없이 먹어도 맛있지만 햇살을 머금은 노란 잎에 고기 한 점을 얹어 쌈을 싸기에도 적당해요. 고춧가루, 소금, 젓갈로 삼삼하게 겉절이를 하거나 한입 크기로 썰어 된장국을 끓여내도 좋답니다. 그때그때 유명산지 알배기 배추를 수급해 보내드리니 순한 맛을 그대로 즐겨보세요. ",일반 택배배송,2,1000
컬리,#야채#양파#국산#단단,양파 1.5kg,컬리사장,4500,3150,30,야채10.jpg,"주황색 껍질 속에 숨겨진 하얀 속살의 양파. 집에 없으면 아쉬울 정도로, 다양한 음식에 활용되죠. 풍부한 영양은 물론, 다양한 매력을 발산하는 양파를 가져왔어요. 그때그때 좋은 양파를 가락시장에서 공급받아 보내드립니다. 껍질이 광택 있고, 단단하고 중량감 있는 양파만을 엄선했어요. 신선하고 수분 함량이 많아 아삭한 맛이 좋아요. 알싸하고 단 내음의 양파는 어떤 요리와도 잘 어울리는데요. 각종 요리에 어울려 음식의 풍미를 더할 뿐만 아니라 상하는 것도 막아줍니다.",일반 택배배송,2,1000
싱싱야채,#야채#브로콜리#국산#친환경#영양가득,친환경 브로콜리 1개,싱싱야채,3000,2940,2,야채11.jpeg,"단단한 줄기에 선명한 초록빛 꽃송이가 피어난 채소, 브로콜리를 마음 편히 즐겨 보세요. 안심하고 드실 수 있도록 농약 없이 건강하게 길러낸 브로콜리를 준비했어요. 이유식에도 자주 사용하는 브로콜리는 비타민C와 식이섬유가 풍부한 영양만점 채소인데요. 동글동글한 윗부분은 부드럽고 굵직한 줄기는 씹는 식감이 살아 있어 두 가지 매력을 만나볼 수 있지요. 살짝 데쳐 초고추장에 찍어 먹어도 좋고 샐러드, 카레에 넣으면 영양은 물론 예쁜 색감도 더해줄 거예요.",일반 택배배송,2,1000
아침한끼,#야채#감자#국산,한끼 감자 300g,아침한끼,2400,2280,5,야채12.jpg,"포슬포슬한 식감에 고소한 단맛이 나는 감자는 그대로 쪄 먹기도 좋고, 채 썰어 볶아서 반찬을 만들어도 좋아요. 때로는 숭덩 썰어 찌개나 찜 요리에 넣어주면 양념이 쏙쏙 배어 더욱 부드럽게 즐길 수 있지요. 요리에 자주 사용하는 필수 재료지만, 한 번에 많이 구비해두면 보관하기도 힘들고 쉽게 무르곤 해요. 그래서 감자를 딱 한끼 깔끔하게 즐길 수 있는 분량만큼 담아 보내드립니다. 번거롭게 손질할 일도 없고 남은 재료를 어떻게 처리할지 걱정할 필요도 없지요. 끼니마다 신선한 채소로 다채로운 요리를 완성해보세요.",일반 택배배송,2,1000
새벽야채집,#야채#국산#파프리카,[KF365] 파프리카 2입,새벽야채집,3000,2940,2,야채13.jpg,"알록달록한 색감까지 예쁜 파프리카를 신선하게 전해드립니다. 생생한 빛깔을 띠는 빨강 파프리카와 노랑 파프리카를 한 봉에 담았는데요. 수분감이 풍부해 생으로 드셔도 좋지만, 볶음이나 조림 등에 사용하면 맛과 영양은 물론 예쁜 색감까지 더할 수 있어요. 샐러드 토핑으로 활용하거나, 길쭉한 모양으로 잘라 채소 스틱으로 즐겨도 좋을 거예요. 남길 걱정 없는 양으로 간편하게 만나보세요.",일반 택배배송,2,1000
우리애기식탁,#야채#국산#청상추,[KF365] 청상추 150g,우리애기식탁,2000,1900,5,야채14.jpg,"상추는 어디서나 쉽게 접할 수 있기에 흔한 잎채소로만 여겨지죠. 그래서 오히려 그 진가를 몰라보는 것일 수도 있어요. 상추는 다른 잎채소에 비해 가격은 저렴하면서도 영양이 뛰어납니다. 비타민과 철분, 미네랄은 물론 식이섬유와 엽산이 풍부해 남녀노소 모두에게 도움이 되는 식재료인데요. 잎 전체가 녹색인 청상추는 맛이 순하고 식감이 부드러워 쌈채소부터 샐러드까지 다양하게 활용하기 좋습니다. 1인 가구나 소가족도 한두 번 먹기 좋은 소포장 제품이니 부담 없이 선택해보세요.",일반 택배배송,2,1000
우리애기식탁,#야채#국산#무,[KF365] 무 1통,우리애기식탁,2200,2090,5,야채15.jpg,"시원한 육수를 완성하는 데 빠질 수 없는 식재료, 바로 무일 거예요. 채 썬 무로 달큰한 무밥을 만들어도 별미고, 가볍게 버무려 산뜻한 무생채로 즐겨도 훌륭하지요. 이렇게 무궁무진한 활용도를 자랑하는 무를 만나보세요. 국내 농가에서 재배해 단단하고 신선한 무로 보내드린답니다. 전골, 조림 등 원하는 용도에 맞게 잘라 다채롭게 활용해 보세요. 어느 요리와도 잘 어울리니 냉장고에 구비해두면 참 든든할 거예요.",일반 택배배송,2,1000
청량한하루,#야채#청경채#국산#아삭,청경채 300g,청량한하루,3000,2940,2,야채17.jpg,"청경채는 잎과 줄기가 붙어 자라는 한 포기 쌈채소예요. 중화풍 요리, 샤브샤브 재료로도 친숙하게 만나볼 수 있는데요. 아이들이 이유식을 시작할 때 가장 먼저 시도하는 채소이기도 합니다. 아삭하면서도 싱그러운 식감이 매력적이지만, 살짝 데치거나 볶아주면 새로운 풍미를 선사해요. 활용도 높은 청경채를 신선하게 만나보세요.",일반 택배배송,2,1000
브룩클린688,#육류#호주#소고기#구이#치마살,[브룩클린688] 호주산 목초육 치마살 구이용 300g (냉장),브룩클린688,15900,14787,7,육류1.jpeg,"호주 멜버른 브룩클린에는 세계적인 육류가공업체인 JBS그룹의 육가공장, 688 가공장이 있습니다. 최첨단 처리 시설을 갖춘 이 공장에서 생산되는 브룩클린688을 만나보세요. 좋은 품질과 합리적인 가격을 자랑하는 브랜드이죠. 고깃결이 곱고 일정해 부드러운 식감을 느낄 수 있는 치마살을 만나보세요. 소금과 후추를 더해 가볍게 구워내는 것만으로 충분하답니다. 촉촉하게 배어 나오는 육즙과 야들야들한 질감이 식사의 만족도를 한층 끌어올려 줄 거예요.",일반 택배배송,2,1000
컬리,#야채#두부#국산#콩,국산콩 두부 300g,컬리,2500,2250,10,야채19.jpg,"자주 먹는 식재료일수록 좋은 재료로 활용도 있게 만들어, 부담 없는 가격에 드실 수 있는 상품이 더 많아져야 한다고 생각합니다. 세상에 이미 많은 두부가 있지만 두부를 선보이는 것 또한 이 때문이죠. 1등급 국산콩* 만을 사용해 고소한 맛을 살리고, 거품제거제와 유화제는 사용하지 않았습니다. 좋은 콩으로 제대로 만든 만큼 식탁에 매일같이 올리기에 참 편안한 두부예요. 기본을 지켜 다용도로 쓰기 좋게 만든 기본 두부, 선택해 보세요.",일반 택배배송,2,1000
Kims Butcher,#육류#돼지고기#스페인#대패#삼겹살,[Kims Butcher] 돌돌말이 대패 삼겹살 1kg(냉동),Kims Butcher,16990,12900,24,육류2.jpg,"알맞게 익힌 돼지고기는 언제 먹어도 참 만족스러운 음식이죠. 부담 없이 즐길 수 있도록, Kims butcher가 깐깐하게 선택하고 선보이는 냉동 돌돌말이 삼겹살을 만나보세요. 인기 만점 삼겹살 부위를 얇게 저며 한 팩에 담은 상품인데요. 1kg 대용량 상품이라 냉장고에 든든하게 구비해 두고 다채로운 요리에 활용할 수 있답니다. 돌돌 말린 고기를 프라이팬에 올리면 금세 익어 간단하게 즐길 수 있고요. 전골이나 찌개 요리 등에도 안성맞춤이랍니다.",일반 택배배송,2,1000
우리애기식탁,#야채#가지#국산#,[KF365] 가지 2입,우리애기식탁,4000,3400,15,야채16.jpg,"늘 먹는 채소도 기본이 중요합니다. 없으면 허전한 필수 채소, 신선하게 담아가 보세요. 제철에 가장 맛이 좋은 가지를 준비했어요. 길쭉하게 뻗은 몸통에 윤기가 흐르는 신선한 가지랍니다. 특히나 수분이 많은 채소라 시원한 느낌으로 즐기기에도 좋지요. 가지볶음이나 가지나물 등 친숙한 요리부터, 가지 튀김이나 라자냐같은 별미 요리를 펼쳐보세요. 약간의 쓴맛이 느껴진다면, 꼭지를 자른 뒤 옅은 소금물이나 식초물에 담갔다가 사용해도 좋을 거예요.",일반 택배배송,2,1000
델리치오,#육류#안심#소고기#호주#스테이크#냉장,[델리치오] 호주산 목초육 안심 스테이크 250g (냉장),델리치오,22900,18320,20,육류3.jpeg,"지방이 적어 담백한 맛이 일품인 호주산 소 안심을 소개합니다. 소를 넓은 들판에 자유로이 방목하여, 목초를 먹이며 키웠어요. 자연 방목한 덕분에 소고기 결이 탄탄하고 육즙이 풍만하죠. 부드러운 안심 부위만을 선별해, 스테이크 조리가 간편하도록 먹기 좋은 크기로 2인분을 준비했답니다. 고급 레스토랑 못지 않은 안심 스테이크를 집에서도 취향껏 즐겨 보세요. ",일반 택배배송,2,1000
한돈,#육류#돼지고기#국산#한돈#삼겹살,[KF365] 한돈 삼겹살 구이용 600g~ (냉장),한돈,17950,15300,14,육류4.jpg,"노릇하게 익힌 삼겹살은 언제 먹어도 만족스러운 음식이죠. 국내산 돼지고기의 삼겹살 부위를 구워 먹기 알맞은 두께로 준비했어요. 특유의 고소한 풍미는 물론이고, 야들한 식감까지 제대로 즐길 수 있지요. 두 가지 용량으로 준비했으니 필요에 맞게 선택해 보세요. 찌개 등의 요리에도 활용하기 좋답니다.",일반 택배배송,2,1000
한돈,#육류#돼지고기#국산#한돈#목살#구이,[KF365] 한돈 목살 구이용 600g~ (냉장),한돈,17600,14940,15,육류5.jpg,맛 좋고 건강한 우리 한돈을 부담 없이 즐겨보세요. 구이용으로 사랑받는 목살을 품질 좋은 한돈으로 준비했답니다. 목살은 기름기가 적어 담백한 맛을 자랑하는 부위인데요. 육즙을 보존하면서도 빠르게 구워 즐기기 적당한 두께로 정형했어요. 두 가지 용량으로 준비했으니 필요에 맞게 선택해 보세요. 찌개 등의 요리에도 활용하기 좋답니다.,일반 택배배송,2,1000
한돈,#육류#돼지고기#국산#한돈#냉동#삼겹살,[KF365] 한돈 급냉 삼겹살 600g (냉동),한돈,16990,14990,11,육류6.jpg,"맛 좋은 우리 한돈을 부담 없이 즐겨보세요. 구이용으로 먹기 좋게 손질한 급냉 삼겹살을 준비했어요. 너무 두껍지도, 얇지도 않은 두께라 해동 없이 그대로 구워 즐길 수 있고요. 삼겹살 특유의 육즙과 씹는 재미도 오롯이 느낄 수 있답니다. 2~3인이 먹기 좋은 용량으로 준비했으니 냉동실에 든든히 챙겨 보세요.",일반 택배배송,2,1000
